snapshot_date,symbol,idx_code,issuer_name,board,sector
2025-09-20,CITA.JK,CITA,PT Cita Mineral Investindo Tbk,,Consumer durables
2025-09-20,CITY.JK,CITY,PT Natura City Developments Tbk,,Finance
2025-09-20,CLAY.JK,CLAY,PT Citra Putra Realty Tbk,,Consumer services
2025-09-20,CLEO.JK,CLEO,PT Sariguna Primatirta Tbk,,Consumer non-durables
2025-09-20,CLPI.JK,CLPI,PT Colorpak Indonesia Tbk,,Process industries
2025-09-20,CMNP.JK,CMNP,PT Citra Marga Nusaphala Persada Tbk,,Transportation
2025-09-20,CMNT.JK,CMNT,PT Cemindo Gemilang Tbk,,Non-energy minerals
2025-09-20,CMPP.JK,CMPP,PT AirAsia Indonesia Tbk,,Transportation
2025-09-20,CMRY.JK,CMRY,PT Cisarua Mountain Dairy Tbk,,Distribution services
2025-09-20,CNKO.JK,CNKO,PT Exploitasi Energi Indonesia Tbk Class A,,Energy minerals
2025-09-20,CNMA.JK,CNMA,PT Nusantara Sejahtera Raya Tbk,,Consumer services
2025-09-20,COAL.JK,COAL,PT Black Diamond Resources Tbk,,Energy minerals
2025-09-20,COCO.JK,COCO,PT Wahana Interfood Nusantara Tbk,,Consumer non-durables
2025-09-20,COIN.JK,COIN,PT Indokripto Koin Semesta Tbk,,Miscellaneous
2025-09-20,CPIN.JK,CPIN,PT Charoen Pokphand Indonesia Tbk,,Process industries
2025-09-20,CPRO.JK,CPRO,PT Central Proteina Prima Tbk,,Process industries
2025-09-20,CRAB.JK,CRAB,PT Toba Surimi Industries Tbk,,Consumer non-durables
2025-09-20,CRSN.JK,CRSN,PT Carsurin Tbk,,Commercial services
2025-09-20,CSAP.JK,CSAP,PT Catur Sentosa Adiprana Tbk,,Distribution services
2025-09-20,CSIS.JK,CSIS,PT Cahayasakti Investindo Sukses Tbk,,Finance
2025-09-20,CSMI.JK,CSMI,PT Cipta Selera Murni Tbk,,Consumer services
2025-09-20,CSRA.JK,CSRA,PT Cisadane Sawit Raya Tbk,,Process industries
2025-09-20,CTBN.JK,CTBN,PT Citra Tubindo Tbk,,Industrial services
2025-09-20,CTRA.JK,CTRA,PT Ciputra Development Tbk,,Finance
2025-09-20,CTTH.JK,CTTH,PT Citatah Tbk,,Non-energy minerals
2025-09-20,CUAN.JK,CUAN,PT Petrindo Jaya Kreasi Tbk,,Non-energy minerals
2025-09-20,CYBR.JK,CYBR,PT ITSEC Asia Tbk,,Technology services
2025-09-20,DAAZ.JK,DAAZ,PT Daaz Bara Lestari Tbk,,Distribution services
2025-09-20,DADA.JK,DADA,PT Diamond Citra Propertindo Tbk,,Finance
2025-09-20,DART.JK,DART,PT Duta Anggada Realty Tbk,,Consumer durables
2025-09-20,DATA.JK,DATA,PT Remala Abadi Tbk,,Communications
2025-09-20,DAYA.JK,DAYA,PT Duta Intidaya Tbk,,Retail trade
2025-09-20,DCII.JK,DCII,PT DCI Indonesia Tbk,,Technology services
2025-09-20,DEFI.JK,DEFI,PT Danasupra Erapacific Tbk,,Finance
2025-09-20,DEPO.JK,DEPO,PT Caturkarda Depo Bangunan Tbk,,Retail trade
2025-09-20,DEWA.JK,DEWA,PT Darma Henwa Tbk,,Energy minerals
2025-09-20,DEWI.JK,DEWI,PT Dewi Shri Farmindo Tbk,,Retail trade
2025-09-20,DFAM.JK,DFAM,PT Dafam Property Indonesia Tbk,,Consumer services
2025-09-20,DGIK.JK,DGIK,PT Nusa Konstruksi Enjiniring Tbk,,Industrial services
2025-09-20,DGNS.JK,DGNS,PT Diagnos Laboratorium Utama Tbk,,Health services
2025-09-20,DGWG.JK,DGWG,PT Delta Giri Wacana Tbk,,Process industries
2025-09-20,DIGI.JK,DIGI,PT Arkadia Digital Media Tbk,,Technology services
2025-09-20,DILD.JK,DILD,PT Intiland Development Tbk,,Finance
2025-09-20,DIVA.JK,DIVA,PT Distribusi Voucher Nusantara Tbk,,Technology services
2025-09-20,DKFT.JK,DKFT,PT Central Omega Resources Tbk,,Non-energy minerals
2025-09-20,DKHH.JK,DKHH,Pt Cipta Sarana Medika Tbk.,,Health services
